task,model,repeat,outer_fold,n_train,n_test,best_inner_f1_macro,best_parameters,f1_macro,f1_weighted,balanced_accuracy,log_loss,precision_adjacent_normal,recall_adjacent_normal,f1_adjacent_normal,precision_healthy,recall_healthy,f1_healthy,precision_tumor,recall_tumor,f1_tumor,roc_auc_ovr_macro,brier_score_multiclass,roc_auc,pr_auc,brier_score,sensitivity,specificity,negative_predictive_value,positive_predictive_value,analysis_provenance
task_a_three_class,linear_svm,2,2,196,50,0.9765535189155214,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.947089947089947,0.9587301587301588,0.9333333333333332,0.1659534537545739,0.9090909090909091,1.0,0.9523809523809523,1.0,0.8,0.8888888888888888,1.0,1.0,1.0,0.998611111111111,0.07679491972458727,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,2,2,196,50,0.9359711946521959,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",0.8941798941798943,0.9174603174603174,0.8833333333333333,0.21860102643414295,0.8636363636363636,0.95,0.9047619047619048,0.875,0.7,0.7777777777777778,1.0,1.0,1.0,0.9841666666666667,0.12258997419760334,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,2,3,198,48,0.9762686719208459,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9575741154688524,0.9585478335478337,0.9649122807017543,0.1804159729712567,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9903206291591048,0.09036978382002443,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,2,3,198,48,0.9877899877899878,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9575741154688524,0.9585478335478337,0.9649122807017543,0.1453591468005995,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9975801572897761,0.06818634654783647,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,2,3,198,48,0.9672415547415547,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",0.9824439824439825,0.9791522291522291,0.9824561403508771,0.1544113376724944,0.95,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9473684210526315,0.972972972972973,0.9951603145795523,0.07199788336744876,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,2,4,198,48,0.9517897307370993,"{""model__C"": 0.2, ""model__l1_ratio"": 0.5, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9751179751179752,0.9793811668811668,0.9824561403508771,0.1624636162589763,1.0,0.9473684210526315,0.972972972972973,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,0.998517846339988,0.07431226762051117,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,2,4,198,48,0.956656402837404,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.1094657544854537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.033697248526511424,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,2,4,198,48,0.9470202959451997,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9462962962962962,0.9570601851851852,0.9333333333333332,0.12994947233562856,0.9047619047619048,1.0,0.95,1.0,0.8,0.8888888888888888,1.0,1.0,1.0,0.9970356926799758,0.06128541666666667,,,,,,,,raw_cel_rma
task_b_field_effect,elastic_net,0,0,118,30,1.0,"{""model__C"": 0.05, ""model__l1_ratio"": 0.5, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.1308312944723716,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.9999999999999999,0.017402433393583605,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,linear_svm,0,0,118,30,1.0,"{""model__C"": 0.05, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.05780372861089724,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.9999999999999999,0.004325015622504181,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,random_forest,0,0,118,30,0.9908424908424909,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.04541249398117661,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.00913166666666667,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,elastic_net,0,1,118,30,1.0,"{""model__C"": 0.05, ""model__l1_ratio"": 0.8, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.1795433113657698,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.9999999999999999,0.03076040483461642,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,linear_svm,0,1,118,30,1.0,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.05566474038492429,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.9999999999999999,0.005743578412614579,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,random_forest,0,1,118,30,0.98125,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.03853423259591868,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.005294166666666666,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,elastic_net,0,2,119,29,1.0,"{""model__C"": 0.2, ""model__l1_ratio"": 0.5, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.05020752673867007,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.9999999999999999,0.003964022723192325,1.0,1.0,1.0,1.0,raw_cel_rma
task_b_field_effect,linear_svm,0,2,119,29,1.0,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.06630893172498113,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.9999999999999999,0.005384932401437805,1.0,1.0,1.0,1.0,raw_cel_rma
