"accession","geo_accession","sample_median","sample_iqr","median_robust_z","iqr_robust_z","missing_values","non_finite_values","independent_failure_metrics","technical_outlier_candidate","automatic_exclusion"
"GSE44076","GSM1077681",3.62748295319827,3.41674040924276,-0.501706272325225,0.578868794656497,0,0,0,FALSE,FALSE
"GSE44076","GSM1077682",3.65213368492907,3.2823483863645,-0.0493291808961859,-0.783023647641222,0,0,0,FALSE,FALSE
"GSE44076","GSM1077683",3.70483078612024,3.25547582346888,0.91773993591291,-1.05534293809396,0,0,0,FALSE,FALSE
"GSE44076","GSM1077684",3.63034636634376,3.18474397365503,-0.449158440298905,-1.77212038982175,0,0,0,FALSE,FALSE
"GSE44076","GSM1077685",3.70507779225517,3.35102729792114,0.922272860862357,-0.0870501174343506,0,0,0,FALSE,FALSE
"GSE44076","GSM1077686",3.63791938790391,3.29914226878585,-0.310182384572694,-0.612838981493369,0,0,0,FALSE,FALSE
"GSE44076","GSM1077687",3.73988627737661,3.0557970884967,1.56105962907065,-3.07883327793745,0,0,0,FALSE,FALSE
"GSE44076","GSM1077688",3.68701513485192,3.37710443798784,0.590796598461952,0.177208573021873,0,0,0,FALSE,FALSE
"GSE44076","GSM1077689",3.70229775951364,3.2060689382474,0.871255181572868,-1.55601896141389,0,0,0,FALSE,FALSE
"GSE44076","GSM1077690",3.67596032585783,3.33840682111335,0.387924635322405,-0.214942618898509,0,0,0,FALSE,FALSE
"GSE44076","GSM1077691",3.64173880733082,3.25011785245617,-0.240090434761238,-1.10963916842056,0,0,0,FALSE,FALSE
"GSE44076","GSM1077692",3.7108100535771,3.40305561235121,1.02746826570646,0.440190761081117,0,0,0,FALSE,FALSE
"GSE44076","GSM1077693",3.6680847839184,3.39262764186975,0.243396886820131,0.334516526234079,0,0,0,FALSE,FALSE
"GSE44076","GSM1077694",3.71915255009847,3.28698778668782,1.18056531583891,-0.736009218497292,0,0,0,FALSE,FALSE
"GSE44076","GSM1077695",3.62539624661973,3.03144918999664,-0.540000399370819,-3.32556830166059,0,0,0,FALSE,FALSE
"GSE44076","GSM1077696",3.65281677266726,3.3975698164751,-0.0367935187680014,0.384599188131628,0,0,0,FALSE,FALSE
"GSE44076","GSM1077697",3.68851662955557,3.40095887307964,0.618351229060804,0.418942971917202,0,0,0,FALSE,FALSE
"GSE44076","GSM1077698",3.70352780115534,3.4185802990392,0.893828250246345,0.59751374064935,0,0,0,FALSE,FALSE
"GSE44076","GSM1077699",3.6439108447647,3.43956422947489,-0.200230361334409,0.810159221073102,0,0,0,FALSE,FALSE
"GSE44076","GSM1077700",3.66435882261587,3.47916206372243,0.175020030699867,1.21143297258087,0,0,0,FALSE,FALSE
"GSE44076","GSM1077701",3.65073815559215,3.32263103339614,-0.0749391915577035,-0.374810188440379,0,0,0,FALSE,FALSE
"GSE44076","GSM1077702",3.69731125265274,3.39106651002578,0.779745465157312,0.318696438001107,0,0,0,FALSE,FALSE
"GSE44076","GSM1077703",3.6569044372139,3.23342729048926,0.0382211225229974,-1.27877681300413,0,0,0,FALSE,FALSE
"GSE44076","GSM1077704",3.66783803473687,3.36526787965402,0.238868677342564,0.0572600895300684,0,0,0,FALSE,FALSE
"GSE44076","GSM1077705",3.65147779694007,3.32868390241494,-0.0613656877231705,-0.313472049506411,0,0,0,FALSE,FALSE
"GSE44076","GSM1077706",3.71990786584038,3.45885186590998,1.19442646779855,1.00561491649437,0,0,0,FALSE,FALSE
"GSE44076","GSM1077707",3.66448264124559,3.35148403685671,0.177292284205066,-0.0824216484885699,0,0,0,FALSE,FALSE
"GSE44076","GSM1077708",3.65704464791583,3.26776858419932,0.0407941946014114,-0.930771422797084,0,0,0,FALSE,FALSE
"GSE44076","GSM1077709",3.65434185151863,3.39171815009043,-0.00880608445907125,0.325299982319797,0,0,0,FALSE,FALSE
"GSE44076","GSM1077710",3.72531591437206,3.37391978292475,1.29367209230119,0.144936139220726,0,0,0,FALSE,FALSE
"GSE44076","GSM1077711",3.59107369367117,3.39279464640317,-1.16986959931384,0.3362089050451,0,0,0,FALSE,FALSE
"GSE44076","GSM1077712",3.71778559565716,3.3013781349842,1.15547969643305,-0.590181317650625,0,0,0,FALSE,FALSE
"GSE44076","GSM1077713",3.6869997956848,3.46225791984226,0.590515102241772,1.04013094660597,0,0,0,FALSE,FALSE
"GSE44076","GSM1077714",3.7271699322534,3.29483300735101,1.32769604038415,-0.656507872356816,0,0,0,FALSE,FALSE
"GSE44076","GSM1077715",3.68442649933046,3.37337066005813,0.543291338952538,0.139371476483126,0,0,0,FALSE,FALSE
"GSE44076","GSM1077716",3.67130453858153,3.25341853351308,0.302484108470482,-1.07619095855239,0,0,0,FALSE,FALSE
"GSE44076","GSM1077717",3.72695952197459,3.27525417355145,1.32383470308294,-0.854914483177685,0,0,0,FALSE,FALSE
"GSE44076","GSM1077718",3.6686824087258,3.11034205054574,0.254364178789126,-2.52608937253997,0,0,0,FALSE,FALSE
"GSE44076","GSM1077719",3.67215411554804,3.22476101965521,0.318075092188738,-1.36659845969875,0,0,0,FALSE,FALSE
"GSE44076","GSM1077720",3.65462618452322,3.21956235053422,-0.00358815669034952,-1.41928036770379,0,0,0,FALSE,FALSE
"GSE44076","GSM1077721",3.66509451122158,3.43854333647138,0.188520995916049,0.799813767257433,0,0,0,FALSE,FALSE
"GSE44076","GSM1077722",3.71733148251002,3.30312863186179,1.14714605397067,-0.57244225534022,0,0,0,FALSE,FALSE
"GSE44076","GSM1077723",3.72508084398677,3.39271210833843,1.28935820586809,0.335372486601772,0,0,0,FALSE,FALSE
