geo_accession,sample_median,robust_z,outlier_candidate,automatic_exclusion
GSM1077763,3.6905,0.4765718002081204,False,False
GSM1077764,3.68415,0.3577212972597969,False,False
GSM1077765,3.5875250000000003,-1.450771592091567,False,False
GSM1077766,3.650875,-0.2650740548040213,False,False
GSM1077767,3.65045,-0.27302861602496975,False,False
GSM1077768,3.7197000000000005,1.0230969476240137,False,False
GSM1077769,3.6296999999999997,-0.6613983697537342,False,False
GSM1077770,3.6271,-0.710061567811308,False,False
GSM1077771,3.678175,0.24588952480055581,False,False
GSM1077772,3.6452,-0.371290842872008,False,False
GSM1077773,3.709125,0.8251687478321175,False,False
GSM1077774,3.6472,-0.33385761359694305,False,False
GSM1077775,3.57105,-1.7591278182448844,False,False
GSM1077776,3.6419750000000004,-0.4316519250780358,False,False
GSM1077777,3.7396000000000003,1.3955575789108645,False,False
GSM1077778,3.7121,0.8808506763787736,False,False
GSM1077779,3.6157500000000002,-0.922495143947273,False,False
GSM1077780,3.62925,-0.66982084634062,False,False
GSM1077781,3.7067,0.7797809573361123,False,False
GSM1077782,3.706125,0.7690189039195325,False,False
GSM1077783,3.6014,-1.1910785639958397,False,False
GSM1077784,3.6289,-0.6763716614637569,False,False
GSM1077785,3.63155,-0.6267726326743007,False,False
GSM1077786,3.667625,0.04842924037461335,False,False
GSM1077787,3.7311750000000004,1.237870100589673,False,False
GSM1077788,3.654025,-0.20611671869580503,False,False
GSM1077789,3.75325,1.651039368713149,False,False
GSM1077790,3.6988250000000003,0.6323876170655633,False,False
GSM1077791,3.60855,-1.0572547693374934,False,False
GSM1077792,3.652125,-0.24167828650711298,False,False
GSM1077793,3.7196,1.0212252861602484,False,False
GSM1077794,3.595975,-1.2926161984044382,False,False
GSM1077795,3.7012,0.6768395768296942,False,False
GSM1077796,3.7248,1.1185516822754122,False,False
GSM1077797,3.66315,-0.03532761012833937,False,False
GSM1077798,3.65625,-0.16447225112729724,False,False
GSM1077799,3.665075,0.0007018730489057535,False,False
GSM1077800,3.6940749999999998,0.5434836975372851,False,False
GSM1077801,3.66555,0.0095922650017369,False,False
GSM1077802,3.615675,-0.9238988900450928,False,False
GSM1077803,3.64565,-0.3628683662851223,False,False
GSM1077804,3.720025,1.0291798473812053,False,False
GSM1077805,3.672325,0.1363973291710006,False,False
GSM1077806,3.6828250000000002,0.332921782865077,False,False
GSM1077807,3.718,0.9912787027402031,False,False
GSM1077808,3.73075,1.2299155393687162,False,False
GSM1077809,3.672625,0.14201231356226326,False,False
GSM1077810,3.68125,0.3034431148109606,False,False
GSM1077811,3.67665,0.217346687478322,False,False
GSM1077812,3.665,-0.0007018730489057535,False,False
GSM1077813,3.7441500000000003,1.4807181755116288,False,False
GSM1077814,3.61735,-0.8925485605272278,False,False
GSM1077815,3.6475,-0.3282426292056887,False,False
GSM1077816,3.6858,0.38860371141172484,False,False
GSM1077817,3.702325,0.6978957682969166,False,False
GSM1077818,3.6597750000000002,-0.09849618452999848,False,False
GSM1077819,3.6438,-0.39749410336454766,False,False
GSM1077820,3.635325,-0.5561174124176219,False,False
GSM1077821,3.7135,0.9070539368713132,False,False
GSM1077822,3.702025,0.692280783905654,False,False
GSM1077823,3.735825,1.324902358654186,False,False
GSM1077824,3.59435,-1.3230306971904289,False,False
GSM1077825,3.6766500000000004,0.21734668747833033,False,False
GSM1077826,3.64595,-0.3572533818938597,False,False
GSM1077827,3.6877000000000004,0.4241652792230411,False,False
GSM1077828,3.7441250000000004,1.4802502601456917,False,False
