gene_symbol,reference_model,adjusted_model,unadjusted_log2fc,adjusted_log2fc,effect_difference,unadjusted_fdr,adjusted_fdr,effect_direction_agreement,reference_significant,adjusted_significant,significance_retained,lost_significance,gained_significance,changed_direction
CALB2,U0_unadjusted,U1_age_sex_adjusted,1.50008740150592,1.40156357768822,-0.09852382381769997,1.53888317601475e-25,3.99206185906619e-21,True,True,True,True,False,False,False
SUCLG2,U0_unadjusted,U1_age_sex_adjusted,-0.938187032796111,-0.943654680331665,-0.0054676475355539544,1.73193797310841e-25,8.61493640999586e-23,True,True,True,True,False,False,False
SERPING1,U0_unadjusted,U1_age_sex_adjusted,1.7983854102326,1.75598834175619,-0.042397068476410116,1.82010689255932e-25,6.02517777911302e-22,True,True,True,True,False,False,False
UFM1,U0_unadjusted,U1_age_sex_adjusted,-0.798844172094202,-0.767742509468091,0.031101662626111026,2.25181916897702e-25,1.62873086675174e-21,True,True,True,True,False,False,False
ADGRA2,U0_unadjusted,U1_age_sex_adjusted,1.33366167413253,1.32994806943864,-0.003713604693889927,2.53973996818036e-25,1.8801541595839499e-22,True,True,True,True,False,False,False
THBS2,U0_unadjusted,U1_age_sex_adjusted,2.35865132552248,2.2524546653028,-0.10619666021968,2.79467216032952e-25,2.6613030861439e-21,True,True,True,True,False,False,False
CLEC14A,U0_unadjusted,U1_age_sex_adjusted,1.12081100479421,1.08206720537746,-0.03874379941674988,2.90598299713471e-25,1.2847401346638002e-21,True,True,True,True,False,False,False
C1S,U0_unadjusted,U1_age_sex_adjusted,1.27189926955951,1.24299988882844,-0.028899380731070012,3.7001027344365902e-25,8.323336586178019e-22,True,True,True,True,False,False,False
MAIP1,U0_unadjusted,U1_age_sex_adjusted,-0.5717218054768,-0.568636509842293,0.0030852956345069904,4.20445862978001e-25,4.1842901813644796e-22,True,True,True,True,False,False,False
MMP2,U0_unadjusted,U1_age_sex_adjusted,1.29190262784933,1.23367027211661,-0.05823235573272001,4.20445862978001e-25,2.83541657218771e-21,True,True,True,True,False,False,False
ABI3BP,U0_unadjusted,U1_age_sex_adjusted,1.5415588926528,1.56217012780337,0.02061123515056984,4.49461725839346e-25,9.261016797088051e-23,True,True,True,True,False,False,False
AUH,U0_unadjusted,U1_age_sex_adjusted,-0.75419838185567,-0.782335819046904,-0.02813743719123396,5.311660874156451e-25,1.60475180700983e-23,True,True,True,True,False,False,False
TAC1,U0_unadjusted,U1_age_sex_adjusted,2.96522267683534,2.80275508289406,-0.16246759394128008,5.40838358860503e-25,7.87135096771997e-21,True,True,True,True,False,False,False
NIF3L1,U0_unadjusted,U1_age_sex_adjusted,-0.529405026416227,-0.503363740105404,0.02604128631082303,5.7469608347146e-25,6.6028016428020004e-21,True,True,True,True,False,False,False
LRRC32,U0_unadjusted,U1_age_sex_adjusted,1.08348158096276,1.04930245465354,-0.03417912630921993,6.05692285421195e-25,2.6613030861439e-21,True,True,True,True,False,False,False
ZBTB20,U0_unadjusted,U1_age_sex_adjusted,1.14124292647905,1.10984132802642,-0.03140159845262991,6.9431959326161205e-25,2.6620536378964602e-21,True,True,True,True,False,False,False
APCDD1,U0_unadjusted,U1_age_sex_adjusted,1.06607658043141,1.05971600114363,-0.00636057928778011,9.847216131316631e-25,8.44195615732916e-22,True,True,True,True,False,False,False
ZCCHC10,U0_unadjusted,U1_age_sex_adjusted,-0.713228220814518,-0.662238531606483,0.05098968920803493,1.07793769737314e-24,2.43345265452345e-20,True,True,True,True,False,False,False
MAP1B,U0_unadjusted,U1_age_sex_adjusted,1.86646403307476,1.78903210018602,-0.07743193288873984,1.30459806314462e-24,9.0131200619321e-21,True,True,True,True,False,False,False
ECSCR,U0_unadjusted,U1_age_sex_adjusted,1.2644633731032,1.21592796641928,-0.04853540668392009,1.30950703432276e-24,4.6860523271346404e-21,True,True,True,True,False,False,False
PTPRM,U0_unadjusted,U1_age_sex_adjusted,1.25202042861128,1.2078788826127,-0.04414154599857989,1.39010795161023e-24,6.89455863278158e-21,True,True,True,True,False,False,False
RIDA,U0_unadjusted,U1_age_sex_adjusted,-0.705836284075601,-0.691244123267638,0.014592160807962995,1.71484323947429e-24,3.67008809039786e-21,True,True,True,True,False,False,False
PARL,U0_unadjusted,U1_age_sex_adjusted,0.384727761376802,0.374408065869268,-0.010319695507533977,1.71484323947429e-24,4.78186564391767e-21,True,False,False,False,False,False,False
PHIP,U0_unadjusted,U1_age_sex_adjusted,0.720499033435777,0.734799917395785,0.014300883960007948,2.8793408387535402e-24,4.02867456894996e-22,True,True,True,True,False,False,False
TMEM256,U0_unadjusted,U1_age_sex_adjusted,-0.575567790792767,-0.575132066943429,0.0004357238493379878,3.39143251690829e-24,2.0265996786056e-21,True,True,True,True,False,False,False
TMEM158,U0_unadjusted,U1_age_sex_adjusted,1.30687526444911,1.2787182808714,-0.028156983577710015,3.80652554064409e-24,8.45950161316432e-21,True,True,True,True,False,False,False
RBMS3,U0_unadjusted,U1_age_sex_adjusted,1.38071091995796,1.36454295605282,-0.01616796390513997,5.19525830486756e-24,5.41064163638547e-21,True,True,True,True,False,False,False
