task,model,metric,outer_fold_mean,outer_fold_sd,repeat_mean_sd,aggregated_oof_metric,aggregated_oof_bootstrap_ci_lower,aggregated_oof_bootstrap_ci_upper,mean,median,standard_deviation,fold_minimum,fold_maximum,repeat_mean_standard_deviation,analysis_provenance
task_b_field_effect,random_forest,pr_auc,1.0,0.0,0.0,0.9996078431372548,0.997862554112554,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,random_forest,brier_score,0.0082745106586529,0.00531083982931,0.0008093814264889,0.0079437160058031,0.0029210709565863,0.0145318002092166,0.0082745106586529,0.0061066666666666,0.00531083982931,0.0007465517241379,0.019201724137931,0.0008093814264889,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,f1_macro,0.9847133562345372,0.0188782330623881,0.0048756359191065,0.9846902908324004,0.9642401021711366,1.0,0.9847133562345372,1.0,0.0188782330623881,0.9472222222222222,1.0,0.0048756359191065,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,balanced_accuracy,0.984736842105263,0.0188379253565045,0.004873752415119,0.9846938775510204,0.9642857142857144,1.0,0.984736842105263,1.0,0.0188379253565045,0.9473684210526316,1.0,0.004873752415119,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,log_loss,0.083854135082809,0.0398207966989631,0.0044744522940419,0.0833809675640719,0.0666562731736951,0.1040675925166971,0.083854135082809,0.0771833427929283,0.0398207966989631,0.0252177609955018,0.1722551827976056,0.0044744522940419,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,roc_auc,0.9996666666666668,0.0012909944487358,0.0005773502691896,0.9996876301541024,0.998646397334444,1.0,0.9996666666666668,1.0,0.0012909944487358,0.995,1.0,0.0005773502691896,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,pr_auc,0.9996969696969696,0.0011736313170325,0.0005248638810815,0.9996917950853812,0.998700005724765,1.0,0.9996969696969696,1.0,0.0011736313170325,0.9954545454545454,1.0,0.0005248638810815,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,brier_score,0.0138013397353187,0.0093562318554342,0.0015374740033411,0.0128471220808292,0.0065506078939291,0.0210805170625242,0.0138013397353187,0.0151765786039701,0.0093562318554342,0.0021607710452368,0.0334092988900517,0.0015374740033411,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,f1_macro,0.9898106455423528,0.0163254350091631,0.0003171394536825,0.9897948557742372,0.9744731838191244,1.0,0.9898106455423528,1.0,0.0163254350091631,0.9472222222222222,1.0,0.0003171394536825,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,balanced_accuracy,0.9898245614035088,0.016294148474285,0.0003038685627313,0.9897959183673468,0.9744897959183674,1.0,0.9898245614035088,1.0,0.016294148474285,0.9473684210526316,1.0,0.0003038685627313,raw_cel_rma
