gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SYDE2,,-0.1284519183673471,0.040075896151479,-3.205216369506098,0.0018220351356175,0.002893373559813,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYF2,,-0.6012264489795931,0.0503152609079432,-11.949186750310131,1.3726369795925337e-22,9.394323541136537e-22,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYK,,0.2258947959183697,0.063693107189682,3.546612904998354,0.000526486653437,0.0008947876355834,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYMPK,,0.2678295306122455,0.0366612933690725,7.305512326474173,2.1330878314567686e-11,6.999998674756441e-11,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYN1,,0.1638367755102052,0.0466105406832542,3.515015554605373,0.000600318250681,0.0010143822766212,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYN2,,-0.0448156734693885,0.0209614812660604,-2.138001265299473,0.0345560661121922,0.0461587974446569,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYN3,,-0.0335116326530609,0.059491463954913,-0.5633015297532176,0.574102429132474,0.613751277410573,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNC,,-0.7972366122448968,0.0759987130932791,-10.4901330535214,1.785835334719773e-18,9.336162760314244e-18,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNCRIP,,1.056774979591836,0.0598536912542518,17.6559700403902,3.204544920486844e-37,6.712270108478495e-36,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYNE1,,-0.2653437551020388,0.0590591490643894,-4.492847582560778,1.4331305359024628e-05,2.893923576581068e-05,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNE2,,-0.4337095918367346,0.080525572944902,-5.385985792780281,2.821547005968765e-07,6.664465326094192e-07,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNGAP1,,-0.1337785714285724,0.0380755150674828,-3.513506545912012,0.0007547007319478,0.0012605932043413,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNGR1,,-0.0260667959183669,0.0371191951667667,-0.7022457195328634,0.4836838582954215,0.5273328368039868,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNGR2,,0.5195052653061243,0.0573950117073507,9.05140098158722,9.09430048091784e-16,3.9952810603755336e-15,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYNGR3,,0.4474422040816321,0.0797796181349606,5.608477635537292,9.917733234120533e-08,2.4400263700433506e-07,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYNGR4,,-0.0412326122448964,0.0409467888453536,-1.0069803617720143,0.3157747100466215,0.3593539226159628,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNJ1,,-0.0354414693877536,0.020436797354534,-1.73419879704834,0.0864413157295608,0.1087728934961892,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNJ2,,-0.091284938775511,0.0334983896695174,-2.725054537728349,0.0074763249552755,0.0109727300661717,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNJ2BP,,-0.9647310612244882,0.0592526221424673,-16.281660226021454,3.723303755507607e-34,6.007771483463121e-33,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNM,,-0.0840872448979599,0.1047849622637545,-0.8024743539660174,0.4236560321571986,0.4680118078023766,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNPO,,-0.2028853469387761,0.02788024158362,-7.277029731979575,9.281744323406833e-11,2.9119197877354777e-10,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNPO2,,-0.1942002448979587,0.0819317652756198,-2.370268042494456,0.0191626053919199,0.0265542945168964,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNPO2L,,-0.1122535510204079,0.0268197395942396,-4.185482510968074,6.893150938342094e-05,0.0001296765081178,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYNPR,,0.1219867755102055,0.061155805774309,1.994688385930007,0.0486561716358085,0.0636010921286416,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYNRG,,-0.2110929387755091,0.0434255548739884,-4.861030317011607,4.679795341079645e-06,9.898167439919623e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYP,,-0.1451126530612239,0.0369264793645009,-3.9297722273715374,0.0001664676543993,0.0002998906367455,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYPL1,,0.4719200408163253,0.0458271144416164,10.297834514925654,2.2762713732435757e-18,1.1822205931957905e-17,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYPL2,,-0.1202129795918365,0.0295828562002923,-4.063602877894144,0.0001008224451725,0.0001861939239655,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
