gene_symbol,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
ABL2,3.7058919999999995,3.9847734693877555,4.325351020408164,0.27888146938775593,0.340577551020409,monotonic_up,0.15
ABLIM1,7.2482940000000005,7.114456122448978,7.008830612244897,-0.13383787755102272,-0.10562551020408062,non_monotonic,0.15
ABLIM2,3.424182,3.223313265306121,3.4455336734693884,-0.2008687346938789,0.22222040816326727,non_monotonic,0.15
ABLIM3,2.996618,3.09410306122449,2.9058091836734694,0.09748506122449019,-0.18829387755102056,non_monotonic,0.15
ABO,2.4182379999999997,2.332585714285714,2.2265499999999996,-0.08565228571428563,-0.10603571428571446,non_monotonic,0.15
ABP1,10.049475999999999,10.006611224489793,8.230692857142861,-0.04286477551020518,-1.7759183673469323,tumor_specific,0.15
ABR,7.964650999999996,7.9775214285714275,7.321489285714286,0.01287042857143117,-0.6560321428571418,tumor_specific,0.15
ABRA,2.0491430000000004,2.0469025510204077,2.0052193877551026,-0.0022404489795926352,-0.04168316326530519,non_monotonic,0.15
ABT1,5.717071999999998,5.580417346938774,5.831861224489799,-0.13665465306122382,0.2514438775510248,non_monotonic,0.15
ABTB1,3.0836139999999985,3.09805,3.1021836734693866,0.01443600000000167,0.004133673469386423,non_monotonic,0.15
ABTB2,4.024536,4.169980612244899,3.826280102040818,0.14544461224489869,-0.3437005102040809,non_monotonic,0.15
ACAA1,6.336293,6.089286734693876,5.115929081632653,-0.24700626530612446,-0.9733576530612229,monotonic_down,0.15
ACAA2,9.898144,9.305313265306125,7.880803061224487,-0.5928307346938748,-1.4245102040816384,monotonic_down,0.15
ACACA,2.7003280000000003,2.6784326530612246,2.9166948979591836,-0.021895346938775706,0.238262244897959,non_monotonic,0.15
ACACB,3.18918,3.1347408163265316,2.9579704081632654,-0.05443918367346834,-0.17677040816326617,non_monotonic,0.15
ACAD10,3.331341,3.4332153061224497,3.319475510204082,0.10187430612244963,-0.11373979591836791,non_monotonic,0.15
ACAD8,3.1548529999999992,2.96548163265306,2.9094704081632656,-0.18937136734693905,-0.056011224489794564,non_monotonic,0.15
ACAD9,4.4766449999999995,4.562718877551021,5.08399948979592,0.08607387755102103,0.5212806122448992,tumor_specific,0.15
ACADL,2.3357899999999994,2.3366030612244897,2.2463658163265303,0.000813061224490319,-0.09023724489795937,non_monotonic,0.15
ACADM,8.639904,7.773243877551018,6.638401020408161,-0.8666601224489812,-1.134842857142857,monotonic_down,0.15
ACADS,7.892526000000001,7.30934897959184,4.930047448979589,-0.5831770204081614,-2.379301530612251,monotonic_down,0.15
ACADSB,5.472417999999998,5.116687244897959,4.6514469387755115,-0.355730755102039,-0.46524030612244704,monotonic_down,0.15
ACADVL,8.143704000000003,7.818312244897958,6.5263663265306135,-0.32539175510204554,-1.291945918367344,monotonic_down,0.15
ACAN,2.451955,2.4635658163265304,2.6428413265306134,0.011610816326530493,0.17927551020408306,non_monotonic,0.15
ACAP1,3.118307999999999,3.092333673469388,2.777455102040815,-0.025974326530611158,-0.3148785714285727,non_monotonic,0.15
ACAP2,5.899810999999997,5.538888775510202,5.143467346938774,-0.36092222448979516,-0.3954214285714279,monotonic_down,0.15
ACAP3,3.9581199999999996,3.9390244897959166,3.86054693877551,-0.019095510204083066,-0.07847755102040654,non_monotonic,0.15
ACAT1,6.259614,6.065129591836737,5.434563265306122,-0.1944844081632633,-0.630566326530615,monotonic_down,0.15
ACAT2,8.897648,8.675369387755095,8.506192857142855,-0.22227861224490475,-0.16917653061224058,monotonic_down,0.15
ACBD3,6.685257,6.791806122448975,6.919288265306124,0.10654912244897474,0.12748214285714887,non_monotonic,0.15
ACBD4,3.447290999999999,3.1849673469387763,3.0033882653061217,-0.26232365306122274,-0.18157908163265457,monotonic_down,0.15
ACBD5,7.3302070000000015,7.012612244897958,7.262658673469389,-0.3175947551020437,0.250046428571431,non_monotonic,0.15
ACBD6,6.669087000000001,6.824601020408163,7.966054591836732,0.15551402040816154,1.1414535714285696,monotonic_up,0.15
ACBD7,2.834840000000001,2.676140816326529,3.122358163265305,-0.15869918367347235,0.44621734693877624,non_monotonic,0.15
ACCN1,2.4418339999999996,2.416935714285714,2.390572448979592,-0.02489828571428543,-0.02636326530612232,non_monotonic,0.15
ACCN2,2.9447479999999984,2.981629591836734,3.3443214285714298,0.03688159183673578,0.3626918367346956,non_monotonic,0.15
ACCN3,2.763656,2.7332326530612234,2.7033795918367356,-0.030423346938776685,-0.02985306122448783,non_monotonic,0.15
ACCN4,2.9952289999999993,2.817542346938775,2.8037520408163266,-0.17768665306122422,-0.01379030612244847,non_monotonic,0.15
ACCN5,2.07098,2.004666326530612,1.9722040816326534,-0.06631367346938788,-0.03246224489795879,non_monotonic,0.15
ACCS,2.9851530000000013,2.877217857142858,2.833383673469387,-0.10793514285714334,-0.04383418367347103,non_monotonic,0.15
ACCSL,2.3049620000000006,2.2522969387755096,2.2401418367346935,-0.052665061224490994,-0.012155102040816157,non_monotonic,0.15
ACD,2.775855999999999,2.6780520408163278,2.960146938775511,-0.09780395918367146,0.2820948979591833,non_monotonic,0.15
