gene_symbol,raw_log2fc,raw_fdr,deposited_log2fc,deposited_fdr,comparison,raw_significant,deposited_significant,sign_agreement,conclusion_changed_materially
HSD11B1,0.50192567515989,9.69320863854368e-05,0.4977339999999999,2.530673052932326e-07,tumor_vs_healthy,True,False,True,True
BTF3,0.165140404764619,0.0001740180597186,0.5194769795918379,1.2695171713797344e-24,tumor_vs_healthy,False,True,True,True
HS6ST1,-0.126717683527465,0.000236256340664,0.0732317959183674,0.1696253403833957,tumor_vs_healthy,False,False,False,True
GRIPAP1,0.150183102866554,0.0003973061956949,-0.1006537551020407,0.0212468616035387,tumor_vs_healthy,False,False,False,True
ARID5A,-0.141369479857064,0.0004134655298179,0.3026009387755106,5.660748484702536e-13,tumor_vs_healthy,False,False,False,True
TRAPPC10,-0.137227958157791,0.000529612864189,-0.6361661428571441,8.327586040914491e-28,tumor_vs_healthy,False,True,True,True
VSIG4,-0.486163614197172,0.001565372978106,-0.505266244897959,0.0003044721451745,tumor_vs_healthy,False,True,True,True
ACY1,-0.121240280781811,0.0017965910709256,-0.5633573469387763,1.0788328688989496e-08,tumor_vs_healthy,False,True,True,True
PTMA,-0.122505518370357,0.0020638938495762,0.6074078775510134,1.2167458554797206e-23,tumor_vs_healthy,False,True,False,True
APOC1,-0.169203573721833,0.0104344006332309,0.5030295918367349,0.0198941940472526,tumor_vs_healthy,False,True,False,True
CCDC74B,-0.0952753851198205,0.0126438285968864,0.0160893265306123,0.5746973023584047,tumor_vs_healthy,False,False,False,True
TIMM8B,-0.17006566065432,0.0160496212120791,0.125904530612245,0.0929027072782819,tumor_vs_healthy,False,False,False,True
STK35,-0.0853086758845394,0.0180856330886924,0.1512903061224486,8.382723326076987e-05,tumor_vs_healthy,False,False,False,True
ATG4C,-0.168500176159892,0.0181915556271514,0.0580111428571425,0.438603767134845,tumor_vs_healthy,False,False,False,True
THBS4,0.498245465174425,0.0191063689431657,0.5001277959183672,0.0015436290663001,tumor_vs_healthy,False,True,True,True
SPRR1A,0.296210959841327,0.0197790714952751,-0.0066440816326531,0.9384408758264868,tumor_vs_healthy,False,False,False,True
YWHAE,-0.151086098101559,0.0343177071584987,0.0431217142857134,0.3481467952878772,tumor_vs_healthy,False,False,False,True
EIF4A1,0.160153288375029,0.0356601645375604,0.8562271428571426,3.387762067269728e-19,tumor_vs_healthy,False,True,True,True
ALDH1A3,-0.0534222132471358,0.0481268344109996,0.0631050204081637,0.0175336607743437,tumor_vs_healthy,False,False,False,True
FAM24B,-0.0580227233939374,0.0505712642407204,0.278974653061224,9.543061821359838e-07,tumor_vs_healthy,False,False,False,True
DDX3Y,0.601663836258671,0.0538747748222,0.6035289591836728,0.0480120175214075,tumor_vs_healthy,False,True,True,True
RPL3,-0.085688867783527,0.053960109103259,0.3029714285714266,1.404649117669121e-07,tumor_vs_healthy,False,False,False,True
VIP,0.55890294097073,0.0560997592247698,0.5590099183673471,0.025462168778486,tumor_vs_healthy,False,True,True,True
APOE,-0.582437758410872,0.0561804349744065,-0.5842731020408163,0.0123932391138089,tumor_vs_healthy,False,True,True,True
NPR3,0.154841167134384,0.0930203415357707,-0.0628413877551019,0.0750526449159024,tumor_vs_healthy,False,False,False,True
REG4,-0.786603663493757,0.105603515903937,-0.7787586530612245,0.0447171106266112,tumor_vs_healthy,False,True,True,True
SPCS2,-0.115475784361054,0.106477419810469,0.0011133877551019,0.9806014948521872,tumor_vs_healthy,False,False,False,True
NAA10,-0.0460222103236414,0.135330539081932,0.0388350816326528,0.1759791446946749,tumor_vs_healthy,False,False,False,True
STEAP1,-0.113730273967255,0.170675410541719,0.0761665306122449,0.035995843038484,tumor_vs_healthy,False,False,False,True
FXYD2,-0.0339719777894203,0.228019356184106,0.1325229795918368,0.0377533657932392,tumor_vs_healthy,False,False,False,True
FAHD2B,0.0439080389092568,0.253802902574145,-0.0299436326530622,0.3694593820671865,tumor_vs_healthy,False,False,False,True
GRK5,-0.0266663394343341,0.35112412326282,0.1600924285714295,9.289507588769348e-06,tumor_vs_healthy,False,False,False,True
AHCYL1,0.0542741287342707,0.401365976036758,-0.2301537142857137,0.0010308598676662,tumor_vs_healthy,False,False,False,True
PCDHGA8,0.0263076412103413,0.405601549849261,-0.0247809795918363,0.3552999269329852,tumor_vs_healthy,False,False,False,True
EBNA1BP2,0.0284241210316849,0.424294916155184,0.790589163265305,2.963362638903452e-15,tumor_vs_healthy,False,True,True,True
CMTM6,-0.0517722421488767,0.432960946954851,0.0346482857142849,0.4492342367604579,tumor_vs_healthy,False,False,False,True
RPLP2,-0.0240810456595146,0.481734933920732,0.0761109795918377,0.015131707760433,tumor_vs_healthy,False,False,False,True
FAM47E,-0.0246924108108195,0.499084247035949,-0.547067408163266,2.896129615507953e-16,tumor_vs_healthy,False,True,True,True
SNX29,-0.0260303372106319,0.548389484468233,0.0475753877551023,0.308787699720013,tumor_vs_healthy,False,False,False,True
PABPN1,-0.0562940329489949,0.642242198618182,0.124006612244897,0.0017875858655811,tumor_vs_healthy,False,False,False,True
PPP2CA,0.0281352348980155,0.665921877277642,-0.056530346938775,0.1810442826304393,tumor_vs_healthy,False,False,False,True
NEDD8,0.0180192279830234,0.715624524987864,-0.0271196938775517,0.5113346219592773,tumor_vs_healthy,False,False,False,True
CYP3A5,-0.0202218433875818,0.720567493000744,-1.4858313061224502,1.6328038677931677e-15,tumor_vs_healthy,False,True,True,True
FBXL20,0.0296817140214838,0.730470168549185,-0.089569591836736,0.0629060909163496,tumor_vs_healthy,False,False,False,True
CMTM1,-0.0088224492914397,0.75545771602948,0.0162988979591838,0.5909450113240684,tumor_vs_healthy,False,False,False,True
PEG3,0.0084919239330649,0.760855268171426,-0.2758847346938768,0.0185452176716887,tumor_vs_healthy,False,False,False,True
BACH1,0.0121514196354005,0.792989511083615,-0.0153399591836724,0.6959015165083191,tumor_vs_healthy,False,False,False,True
XG,0.006999164229335,0.814438618803639,-0.0039947346938777,0.928177768187434,tumor_vs_healthy,False,False,False,True
DEDD,-0.0096039719657916,0.822904757532003,0.0872408163265303,0.0782012413259577,tumor_vs_healthy,False,False,False,True
ARL17A,0.0106004557175776,0.851634685700551,-0.0430875306122451,0.3534111479740457,tumor_vs_healthy,False,False,False,True
AQP1,-0.0172224004935466,0.890400246676992,0.0426247346938781,0.7015189842601891,tumor_vs_healthy,False,False,False,True
RARB,-0.0060778010633626,0.894415988897255,0.1171117142857149,0.0524472834352114,tumor_vs_healthy,False,False,False,True
DACH2,0.0023556482699356,0.915781842012273,-0.0004077346938777,0.985327936622342,tumor_vs_healthy,False,False,False,True
RP1,-0.0036014923842082,0.92013898880035,0.0710702040816322,0.0137758043691276,tumor_vs_healthy,False,False,False,True
ADAM21,0.0028238099848785,0.941393383170475,-0.0001059183673466,0.997749812170488,tumor_vs_healthy,False,False,False,True
OR2A25,0.0021665027783677,0.950397862386736,-9.22040816324632e-05,0.99775613680539,tumor_vs_healthy,False,False,False,True
PAPOLB,0.0012501285800294,0.955938911590884,-9.191836734689927e-05,0.996782266825861,tumor_vs_healthy,False,False,False,True
ZNF468,0.0034007450891815,0.95912337444787,-0.000599999999999,0.9928429518223336,tumor_vs_healthy,False,False,False,True
