gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,reference_model,adjusted_model,effect_difference,effect_direction_agreement,significance_retained
SCN9A,0.514243327741477,2.78422775132848e-07,0.4968573053564,4.9190393765223e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.01738602238507697,True,False
CRYM,-0.503550349018981,2.84446020326998e-07,-0.45405115044255,1.76591746125449e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.04949919857643098,True,False
SLC8A1,0.52408544551145,4.66935713021369e-07,0.476716893274906,2.22371018295264e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.04736855223654396,True,False
NEK2,-0.501302907218526,5.85171727814843e-07,-0.497396770055843,5.32170624483401e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.00390613716268301,True,False
SYNGR3,0.545179072932509,7.29444566697739e-07,0.474550284306749,5.90832298954116e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.07062878862576,True,False
PLCD1,-0.515220169358,8.04653683858735e-07,-0.486988030367694,1.49514114544142e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.028232138990305966,True,False
OCLN,-0.588095914774079,8.67406943301281e-07,-0.483617174435825,0.0001447219567413,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.10447874033825394,True,False
FHOD3,0.562453467347762,1.06893881919218e-06,0.489142821102545,7.98221441487969e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.07331064624521705,True,False
ABHD3,-0.581173989921207,1.19360879545639e-06,-0.49855145490902,0.0001048440160135,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.08262253501218697,True,False
CCDC88A,0.517178909015991,1.22902056256262e-06,0.452226598453131,8.15818966015172e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06495231056285994,True,False
POF1B,-0.583868483652557,1.4547736962429e-06,-0.429312833994548,0.0003049173928168,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.15455564965800894,True,False
AGPAT2,-0.531584606781899,1.67937448452019e-06,-0.473746197260167,7.62924566331386e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.057838409521732026,True,False
STX3,-0.541488515494711,2.10682520295777e-06,-0.487630427010559,7.95656649978797e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.05385808848415202,True,False
BCL6,0.50738444568108,2.13573482147417e-06,0.450465807373882,9.69740845778015e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.05691863830719801,True,False
DNM3,0.529414413006404,2.67914659452897e-06,0.480314045753427,8.46865953904392e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.049100367252977006,True,False
FGF2,0.566625585782075,2.93143854867698e-06,0.496135220181066,0.0001509520845919,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.07049036560100902,True,False
DHRS11,-0.521483597063618,3.74238914881439e-06,-0.476510605645518,9.6154220792558e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.04497299141810002,True,False
SLC40A1,-0.508019482785167,4.03850574966934e-06,-0.494025034663121,3.91024037700365e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.013994448122045977,True,False
FAM83F,-0.513534441817249,4.70082581708352e-06,-0.486027610147539,6.78274650118844e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.027506831669710075,True,False
SAMSN1,-0.52131817184905,5.31610997631179e-06,-0.493917056047224,7.39160737716789e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.027401115801826026,True,False
SLC35G1,-0.503210614079617,6.26697752204363e-06,-0.450427505263751,0.0001726529306253,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.05278310881586595,True,False
CD2AP,-0.556983939675661,7.68499471209495e-06,-0.464285565683637,0.0005230784153861,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.09269837399202396,True,False
ANK3,-0.51891305854097,8.30757306349222e-06,-0.449801426580636,0.0003490826592456,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06911163196033404,True,False
DIXDC1,0.52248590351769,1.03936759580927e-05,0.474799536239814,0.0002296266637982,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.04768636727787595,True,False
MAPK13,-0.507010710571187,1.05930703714096e-05,-0.455077663674477,0.0002679792899603,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.05193304689670997,True,False
SBSPON,0.519650528828457,1.30691728599059e-05,0.464446351062776,0.0003310780603774,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.055204177765680984,True,False
KCTD9,-0.53298540584226,1.36791271970531e-05,-0.495269306654343,0.0001959468504055,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.03771609918791696,True,False
EDN1,-0.524977855278119,1.64620267181752e-05,-0.489767706051385,0.0002262089752848,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.035210149226734044,True,False
GSTA1,-0.547254297264212,1.75808058621378e-05,-0.498489002696945,0.0003062656552616,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.048765294567267026,True,False
PTGS1,0.518902224908192,2.41944530816178e-05,0.450929796035223,0.0007035252876523,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06797242887296906,True,False
CAB39L,0.508391681168932,2.46155109050218e-05,0.483409361723278,0.000238815674086,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.02498231944565399,True,False
AGMAT,-0.52857507556903,2.49738381378574e-05,-0.484513349976878,0.0003605808773733,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.044061725592152046,True,False
TMEM54,-0.517545322109981,2.54205877416333e-05,-0.487692949247451,0.0002568344297801,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.029852372862530063,True,False
