gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
RXFP2,,-0.0401244897959185,0.0246382198817648,-1.6285466234358572,0.1066527587379673,0.1398146878525818,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
RXFP3,,0.0110561224489793,0.0282776948981534,0.3909838651559095,0.6966666170894542,0.7396795566526393,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
RXFP4,,-0.1074846938775513,0.0377289518932847,-2.8488650885815363,0.0053578345881781,0.0086849285338764,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
RXRA,,-0.5739403061224486,0.0499025803553221,-11.501215008037924,8.027309681579714e-20,5.4026149288539325e-19,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
RXRB,,-0.0708785714285715,0.0341388785109234,-2.0761833580998394,0.0405217943636064,0.05756434862964,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
RXRG,,0.0146571428571422,0.0168910614550933,0.8677455171251638,0.387675368719832,0.4475708840908078,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
RYBP,,-0.3208581632653065,0.0327848111501211,-9.786793091352642,3.8705207202714003e-16,1.9362773125057134e-15,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
RYK,,0.4413714285714274,0.0391265715452255,11.280605765860605,2.3708198528722233e-19,1.5327813242338582e-18,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
RYR1,,0.0276806122448975,0.019555962596246,1.415456391300906,0.1601374209156166,0.2026597869214584,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
RYR2,,0.0382673469387753,0.050523842530585,0.7574116500662048,0.4506392955277239,0.5102385934138834,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
RYR3,,-0.7450887755102045,0.1025951077733902,-7.262420125879093,9.559911698593595e-11,3.150237430619973e-10,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A1,,-0.0199306122448983,0.0354623501736763,-0.5620217539809983,0.5753976096381999,0.6294496114628743,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A10,,-0.3940158163265312,0.0476961650703924,-8.260953805091502,7.461925056723727e-13,2.890641975178428e-12,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A11,,1.893423469387756,0.0753292091370483,25.135315916339984,2.8851063126377136e-44,6.618364360556875e-42,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100A12,,-0.2466357142857149,0.0824433679637583,-2.991577374594084,0.0035189256457232,0.0058428834302407,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A13,,-0.3879204081632643,0.096451218547773,-4.021933719490805,0.0001142893372593,0.0002255695015463,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A14,,-1.1781204081632648,0.1446181259823,-8.146422864775998,1.3096947160306388e-12,4.984326882515163e-12,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A16,,-0.6382336734693883,0.0955667413363036,-6.67840782834077,1.516746130283406e-09,4.539985272849561e-09,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A2,,1.8720377551020408,0.1549726455540108,12.079794781909442,4.770609578422075e-21,3.5958989063007246e-20,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100A3,,0.4640959183673474,0.090322208873433,5.138225959660447,1.434921079828478e-06,3.3758677078875847e-06,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100A4,,-0.1476632653061216,0.1392246327711683,-1.0606116343565724,0.291500163584885,0.3470804274064292,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A5,,0.0547224489795925,0.029098999657116,1.880561174762228,0.0630316788471188,0.0863460080041112,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100A6,,-0.0188510204081637,0.0327964070545024,-0.5747891949516222,0.5667646405776955,0.6215054285894904,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A7,,0.3759806122448972,0.0802638164081535,4.6843101794833695,9.148863895641109e-06,2.001773943610741e-05,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100A7A,,0.0250234693877549,0.0213527506702194,1.171908470914484,0.2441041806947307,0.2960912021677819,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100A7L2,,-0.1121387755102039,0.0211082147448128,-5.3125655990287415,6.881658176460237e-07,1.6653122989298794e-06,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100A8,,0.5515989795918372,0.2163653329042294,2.549387058397164,0.0123582965921725,0.0190466219131427,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
