"gene_symbol","entrez_id","model","contrast","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"SCAF1",58506,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0138584090807254,0.0350626872618493,-0.391133539388937,0.696271826772247,0.812448950966733,2.67107679524643,-0.0838862784192845,0.0561694602578336,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"CD177",57126,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.143728073296033,0.371730842095785,0.390917299585363,0.696431309977211,0.812583764843732,7.81534451341488,-0.582945401080089,0.870401547672154,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"LOC391322",391322,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0194854227614869,0.0498844751429598,-0.390756958106228,0.696549575282313,0.812670472423648,2.69929446109146,-0.118042021314503,0.0790711757915297,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"MAP3K13",9175,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0234086413197211,0.0601496801729353,0.390625046847614,0.696646876500675,0.812732711622025,3.78523377356896,-0.0950314447077954,0.141848727347238,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ENPEP",2028,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0270822293962063,0.0697631071593344,-0.390393572713845,0.696817630106071,0.812880629694716,2.29919369160195,-0.164190719158377,0.110026260365965,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"CNTROB",116840,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0160553414924804,0.0409614534999349,-0.390098261998245,0.69703549714756,0.813081946487768,2.81226255120578,-0.0973998286885635,0.0652891457036028,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"UROC1",131669,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0197090898480341,0.0505642172244916,-0.390040450011354,0.697078151201952,0.813081946487768,2.75554093172056,-0.119580116475318,0.0801619367792496,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"RILP",83547,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0216833512428241,0.0557570601208928,-0.389868082967753,0.697205330452912,0.813160785165779,7.07063245359546,-0.13160704563906,0.0882403431534122,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"JAZF1",221895,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0375390384152842,0.0971127749981072,-0.389776252752275,0.697273089943451,0.813160785165779,4.05196254150978,-0.227887934026599,0.15280985719603,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"SLC34A2",10568,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0128282541166732,0.0324553507192921,-0.389767841259652,0.697279296720298,0.813160785165779,2.41943890516928,-0.0778777813210035,0.0522212730876572,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
