gene_symbol,u0_log2fc,u0_fdr,u1_log2fc,u1_fdr,u2_log2fc,u2_fdr,qc_log2fc,qc_fdr,deposited_log2fc,deposited_fdr,sample_direction_consistency,subgroups_tested,subgroup_labels,subgroup_sign_agreement_fraction,subgroup_effect_min,subgroup_effect_max,major_demographic_subgroup_dependence,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,u0_screen,u1_adjusted_support,u2_location_support,qc_robust,unadjusted_adjusted_sign_agreement,location_adjusted_sign_agreement,qc_sign_agreement,deposited_support,direction_consistent,high_direction_consistency,subgroup_robust,evidence_score,evidence_tier,composition_adjusted_log2fc,composition_adjusted_fdr,composition_robust
PXDN,1.26199196179901,2.39967122537199e-22,1.24868078423415,1.53489355245395e-19,1.26220656417812,1.46526799938623e-19,1.25321382944412,1.47649758031546e-19,1.26213891836735,2.664344867317e-29,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.17152737174833,1.3475700045119,False,5.53917449046693,6.80116645226594,7.31707009764945,1.26199196179901,0.515903645383507,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.936404628199364,Tier 1 - high-confidence,0.622662562364568,1.11749798264672e-07,True
SPAG9,-1.15598910499424,2.62380356765145e-26,-1.1392176091074,6.12669699907325e-23,-1.08841471860482,2.75004959509539e-23,-1.14064035843196,8.187648442060051e-23,-1.15389555102041,1.08953231376046e-19,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.26230954406252,-1.06726789182356,False,6.61893779012669,5.46294868513245,5.21985988295123,-1.15598910499424,-0.243088802181218,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.935600091612628,Tier 1 - high-confidence,-1.09972256359369,2.2449509276731e-16,True
LAMC1,1.30549890202578,5.85188629519238e-23,1.26534546975498,1.24301597843569e-19,1.23924005713694,5.15070762674688e-19,1.27081920279467,1.0825205298704701e-19,1.30408795918367,4.41915450367099e-27,0.969387755102041,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.2464261309885,1.34047122242878,False,4.29042108645561,5.59591998848139,6.53086272021351,1.30549890202578,0.934942731732127,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.935333807773174,Tier 1 - high-confidence,0.581189149931937,7.36695447621467e-08,True
MXRA5,1.15693179793774,6.72908914731027e-21,1.22118554375782,3.38418001462722e-20,1.21773231717614,9.35824921481552e-20,1.22598684541839,3.10009752946022e-20,1.15517281632653,6.896169966363231e-20,0.948979591836735,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.08110916305781,1.29239832041951,False,5.54293633113785,6.6998681290756,7.44067294108744,1.15693179793774,0.740804812011843,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.933299955842234,Tier 1 - high-confidence,1.01339931974974,2.6495922222799897e-12,True
LRRC32,1.08348158096276,6.05692285421195e-25,1.04930245465354,2.6613030861439e-21,1.07077892516345,6.8578410942951e-22,1.05488604371293,1.84244976162065e-21,1.08253824489796,1.77023746295815e-27,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,0.972571437164826,1.22116601488766,False,4.3903780985983,5.47385967956106,5.76727337332093,1.08348158096276,0.293413693759874,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.932093032475253,Tier 1 - high-confidence,0.675813637473308,5.98656726240148e-10,True
NIPSNAP3A,-1.02197387810773,6.56030825586427e-33,-1.03088624502298,8.257792670555049e-30,-1.02301372326436,3.68311114346942e-29,-1.03191160858762,1.12614598621002e-29,-1.02135130612245,2.25897855701405e-27,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.08797864947684,-0.953081008252315,False,9.58591634503763,8.5639424669299,8.04420322380874,-1.02197387810773,-0.519739243121158,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.930777588930213,Tier 1 - high-confidence,-0.97476374615578,1.12828440681126e-20,True
APCDD1,1.06607658043141,9.847216131316631e-25,1.05971600114363,8.44195615732916e-22,1.01340526503838,6.6048815957481e-22,1.06905936209721,2.19957225857962e-22,1.06480524489796,2.1345813990153e-29,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,0.960096820443719,1.11394517706292,False,3.54473958947487,4.61081616990629,6.30331998413359,1.06607658043141,1.6925038142273,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.929921405329501,Tier 1 - high-confidence,0.576983664522045,5.86144448772847e-10,True
THY1,1.49787139226494,4.1700114370761e-19,1.47733573546204,1.73010023604242e-16,1.44623680327741,6.41335474500187e-16,1.48739087917664,1.10289668904979e-16,1.49821334693878,2.51019330703601e-23,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.32785282461186,1.65850691033201,False,4.12189568032264,5.61976707258759,7.03516772003825,1.49787139226494,1.41540064745066,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.929479448742369,Tier 1 - high-confidence,0.524143203205687,5.59220317701394e-05,True
LY96,-1.24234133030288,1.27781975395466e-19,-1.26546640179655,9.60949830803868e-18,-1.26491110650067,2.070050535708e-17,-1.25044080418732,7.28399877316979e-18,-1.24156228571429,1.9868674379197502e-25,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.28057690173081,-1.20183592908614,False,7.37727441335943,6.13493308305655,5.73580662057329,-1.24234133030288,-0.399126462483265,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.924770583361897,Tier 1 - high-confidence,-1.6484258937839,5.14335296112894e-35,True
DBN1,1.33024093680934,1.57667792087807e-20,1.27426939870736,3.8272316453225304e-17,1.24549372661493,1.46577821165196e-16,1.28916232525876,8.470774082012579e-18,1.33098448979592,1.93834282590365e-27,0.969387755102041,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.20440497778674,1.46450664259155,False,3.28933643058468,4.61957736739402,4.70094638457376,1.33024093680934,0.0813690171797389,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.918196888144139,Tier 1 - high-confidence,0.514725805235702,2.45932904479351e-05,True
