gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
MMP2,,1.2914496122448984,0.07593520135359288,17.007258678768135,1.2757328938032272e-35,4.1879231548299046e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9693877551020408,4.101256,5.392705612244899,5.452104081632653,1.2914496122448984,0.05939846938775428,field_shift_then_plateau,0.15
CEBPD,,1.1142525714285698,0.06681472783020055,16.67675088433007,1.5495501156547232e-35,5.000582068146768e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,7.874876000000001,8.989128571428571,8.572219387755103,1.1142525714285698,-0.41690918367346796,non_monotonic,0.15
SOX18,,1.3955671836734682,0.08313770733758895,16.78621203741677,1.914913513449771e-35,6.076658882680606e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.829492,5.225059183673468,4.962461224489796,1.3955671836734682,-0.26259795918367246,non_monotonic,0.15
CLEC3B,,2.4317608571428586,0.14403393992953414,16.88324889489624,2.546857586695091e-35,7.858200846978703e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,6.320482000000002,8.75224285714286,4.732554081632652,2.4317608571428586,-4.019688775510208,adjacent_specific,0.15
EAPP,,-0.6736797551020466,0.03919639634613444,-17.18728806477346,2.558867922860712e-35,7.858200846978703e-33,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t,1.0,8.657842000000002,7.984162244897956,7.208055102040817,-0.6736797551020466,-0.7761071428571391,monotonic_down,0.15
LMNA,,0.6210527346938761,0.03686063288280954,16.848672584336242,2.6216603366909755e-35,7.92324012866606e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,8.229834,8.850886734693876,8.229212244897958,0.6210527346938761,-0.6216744897959181,adjacent_specific,0.15
C2orf40,,2.9831838367346935,0.1770049495762333,16.853674679022927,2.755542316109532e-35,8.07161933826546e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9693877551020408,4.377307999999998,7.360491836734692,3.0628551020408166,2.9831838367346935,-4.297636734693875,adjacent_specific,0.15
SERPING1,,1.7961477959183658,0.10837860652578075,16.57289988768313,2.750553667309774e-35,8.07161933826546e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9693877551020408,3.683792000000001,5.479939795918367,4.991622448979593,1.7961477959183658,-0.48831734693877404,non_monotonic,0.15
THBS2,,2.371247102040817,0.12965736198625472,18.28856507424699,3.177117387675787e-35,9.165502282022271e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.593408,4.964655102040817,6.781208163265304,2.371247102040817,1.8165530612244867,monotonic_up,0.15
MAP1B,,1.8766262448979627,0.10755534649243688,17.448005200094112,4.278683294770769e-35,1.2159123870512752e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.919735999999999,5.796362244897962,4.716814285714285,1.8766262448979627,-1.0795479591836763,adjacent_specific,0.15
