gene_symbol,entrez_id,comparison,log2_fold_change,standard_error,moderated_statistic,p_value,adjusted_p_value,average_expression,confidence_interval_lower,confidence_interval_upper,direction,mapping_status,analysis_provenance_x,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance,analysis_provenance_y,deposited_log2fc,deposited_adjusted_p_value,deposited_sign_agreement,outlier_sensitivity_status,analysis_provenance,candidate_rule
HSPB6,126393,adjacent_vs_healthy,0.606468090780902,0.12908722454573,4.73936142077805,4.9653496024908e-06,2.1592030609138e-05,3.00924711462071,0.353607064937159,0.859329116624646,up,mapped_unique,raw_cel_rma_limma,0.8877551020408163,2.6076668923468724,3.2141349831277735,2.5058971197310433,0.606468090780901,-0.7082378633967301,adjacent_specific,0.15,raw_cel_rma,0.6069433469387753,2.5564593583108053e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
RNASE6,6039,adjacent_vs_healthy,-0.600306526618057,0.12800913607739,-4.73064967061252,5.15412635410427e-06,2.23196655698574e-05,6.58803100018366,-0.851059474113199,-0.349553579122916,down,mapped_unique,raw_cel_rma_limma,0.7857142857142857,6.985531267809133,6.385224741191076,6.378182757118273,-0.6003065266180574,-0.007041984072802876,field_shift_then_plateau,0.15,raw_cel_rma,-0.6054955510204083,1.0481984947100394e-06,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
GDPD2,54857,adjacent_vs_healthy,-0.585215871249582,0.12517111879185,-4.71609857710885,5.48501898751377e-06,2.36460715969059e-05,4.56785184154022,-0.830419555117087,-0.340012187382077,down,mapped_unique,raw_cel_rma_limma,0.7551020408163265,4.955359648178455,4.370143776928869,2.54003885706673,-0.5852158712495861,-1.8301049198621393,monotonic_down,0.15,raw_cel_rma,-0.5840640408163269,5.866748729821216e-06,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
PTGS1,5742,adjacent_vs_healthy,0.51890222490819,0.111098808302386,4.71018399885969,5.625308480145e-06,2.41944530816192e-05,4.81542218935399,0.301210746345322,0.736593703471059,up,mapped_unique,raw_cel_rma_limma,0.8673469387755102,4.471824770158029,4.990726995066224,4.095784563246166,0.5189022249081949,-0.8949424318200574,adjacent_specific,0.15,raw_cel_rma,0.5193696938775512,8.584961347855075e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
LAMP3,27074,adjacent_vs_healthy,0.53253456019756,0.114075845807773,4.70806376899474,5.6764385433476e-06,2.43973381372611e-05,4.08346021181231,0.309023391117523,0.756045729277596,up,mapped_unique,raw_cel_rma_limma,0.8163265306122449,3.730835976005821,4.26337053620338,4.63405019038966,0.5325345601975586,0.37067965418628024,monotonic_up,0.15,raw_cel_rma,0.5331772040816327,7.428754707540456e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
CAB39L,81617,adjacent_vs_healthy,0.50839168116893,0.108945664555967,4.70575913616011,5.73252514640513e-06,2.46155109050234e-05,3.97659532146468,0.294909067854143,0.721874294483717,up,mapped_unique,raw_cel_rma_limma,0.8571428571428571,3.6399575866366023,4.148349267805535,4.827803060732368,0.5083916811689324,0.6794537929268332,monotonic_up,0.15,raw_cel_rma,0.5105566122448977,3.754697423757149e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
AGMAT,79814,adjacent_vs_healthy,-0.528575075569029,0.11337236671454,-4.70198923654837,5.82542800911745e-06,2.4973838137858e-05,6.30709742347687,-0.750711009939781,-0.306439141198277,down,mapped_unique,raw_cel_rma_limma,0.7755102040816326,6.657099838380686,6.1285247628116535,6.87814772051224,-0.5285750755690328,0.7496229577005868,adjacent_specific,0.15,raw_cel_rma,-0.5295840000000016,4.207794218715021e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
TMEM54,113452,adjacent_vs_healthy,-0.51754532210998,0.111109086624098,-4.69743355399544,5.93963834197074e-06,2.54205877416327e-05,9.26250814558431,-0.735256892730505,-0.299833751489455,down,mapped_unique,raw_cel_rma_limma,0.8469387755102041,9.605207075089561,9.087661752979585,7.375396006862228,-0.5175453221099762,-1.7122657461173567,monotonic_down,0.15,raw_cel_rma,-0.5163232448979596,2.196814604222329e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
RHOF,54509,adjacent_vs_healthy,-0.57652995911332,0.123852096038302,-4.69548817604703,5.98906547570997e-06,2.56041203805497e-05,5.94892936865261,-0.819154595704534,-0.333905322522106,down,mapped_unique,raw_cel_rma_limma,0.8163265306122449,6.330685692930352,5.754155733817029,4.314845570155927,-0.5765299591133228,-1.4393101636611023,monotonic_down,0.15,raw_cel_rma,-0.5745750612244906,2.622325771184309e-06,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
FLRT1,23769,adjacent_vs_healthy,0.509623149965375,0.109727708644459,4.68361992291235,6.29933098590313e-06,2.68434814337248e-05,3.03121962983741,0.294611856308685,0.724634443622064,up,mapped_unique,raw_cel_rma_limma,0.8367346938775511,2.6937664629684486,3.2033896129338206,2.5636539532234033,0.5096231499653721,-0.6397356597104173,adjacent_specific,0.15,raw_cel_rma,0.5101808163265313,5.657555244764136e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
