probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715227_s_at,PCDHA7,56141.0,2,2,ambiguous,GSE44076
11715228_s_at,SLC51B,123264.0,1,1,mapped_unique,GSE44076
11715229_s_at,GRIP2,80852.0,1,1,mapped_unique,GSE44076
11715230_s_at,PARD6A,50855.0,1,1,mapped_unique,GSE44076
11715231_x_at,RPL36,25873.0,1,1,mapped_unique,GSE44076
11715232_x_at,RPL36,25873.0,1,1,mapped_unique,GSE44076
11715233_s_at,SPATC1L,84221.0,1,1,mapped_unique,GSE44076
11715234_s_at,UCN,7349.0,1,1,mapped_unique,GSE44076
11715235_x_at,UQCRHL,440567.0,1,1,mapped_unique,GSE44076
11715236_s_at,PCDHGA12,26025.0,1,1,mapped_unique,GSE44076
11715237_s_at,RPL9,6133.0,2,2,ambiguous,GSE44076
11715237_s_at,TIPIN,54962.0,2,2,ambiguous,GSE44076
11715238_x_at,RPL9,6133.0,1,1,mapped_unique,GSE44076
11715239_x_at,IFITM3,10410.0,1,1,mapped_unique,GSE44076
11715240_at,ZNF184,7738.0,1,1,mapped_unique,GSE44076
11715241_s_at,LCE1D,353134.0,1,1,mapped_unique,GSE44076
11715242_s_at,LCE3D,84648.0,1,1,mapped_unique,GSE44076
11715243_x_at,LCE1F,353137.0,1,1,mapped_unique,GSE44076
11715244_x_at,LCE1A,353131.0,1,1,mapped_unique,GSE44076
11715245_s_at,IGLL1,3543.0,1,1,mapped_unique,GSE44076
11715246_x_at,ADGRB1,575.0,1,1,mapped_unique,GSE44076
11715247_s_at,DEPDC5,9681.0,1,1,mapped_unique,GSE44076
11715248_s_at,CRISP2,7180.0,1,1,mapped_unique,GSE44076
11715249_s_at,MAGEA12,4111.0,1,1,mapped_unique,GSE44076
11715250_s_at,KIAA0825,285600.0,1,1,mapped_unique,GSE44076
11715251_at,CHST7,56548.0,1,1,mapped_unique,GSE44076
11715252_at,RSRC1,51319.0,1,1,mapped_unique,GSE44076
11715253_s_at,KRTAP10-10,353333.0,2,2,ambiguous,GSE44076
11715253_s_at,KRTAP10-6,386674.0,2,2,ambiguous,GSE44076
11715254_s_at,DEFB134,613211.0,1,1,mapped_unique,GSE44076
11715255_s_at,TAS2R30,259293.0,1,1,mapped_unique,GSE44076
11715256_at,XAGE3,170626.0,1,1,mapped_unique,GSE44076
11715257_x_at,XAGE3,170626.0,1,1,mapped_unique,GSE44076
11715258_s_at,PTMS,5763.0,1,1,mapped_unique,GSE44076
11715259_s_at,IFNA5,3442.0,1,1,mapped_unique,GSE44076
