geo_accession,sample_title,original_tissue,tissue_class,patient_id,donor_or_patient_group,pairing_status,platform,cel_filename,cel_present_in_tar,author_included,technical_replicate_candidate,technical_replicate_rule,inclusion_status,exclusion_reason,metadata_parsing_source,metadata_parsing_confidence
GSM1012507,Primary Tumor A6141AR,Primary Tumor,primary_tumor,A6141,A6141,patient_grouped,GPL96,GSM1012507_A6141AR.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012508,Polyp A6143BR3,Polyp,polyp,A6143,A6143,patient_grouped,GPL96,GSM1012508_A6143BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012509,Primary Tumor A6275AR3,Primary Tumor,primary_tumor,A6275,A6275,patient_grouped,GPL96,GSM1012509_A6275AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012510,Primary Tumor A7366AR3,Primary Tumor,primary_tumor,A7366,A7366,patient_grouped,GPL96,GSM1012510_A7366AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012511,Primary Tumor A8307AR4,Primary Tumor,primary_tumor,A8307,A8307,patient_grouped,GPL96,GSM1012511_A8307AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012512,Polyp A8457BR3,Polyp,polyp,A8457,A8457,patient_grouped,GPL96,GSM1012512_A8457BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012513,Primary Tumor A8528AR3,Primary Tumor,primary_tumor,A8528,A8528,patient_grouped,GPL96,GSM1012513_A8528AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012514,Polyp A8528BR3,Polyp,polyp,A8528,A8528,patient_grouped,GPL96,GSM1012514_A8528BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012515,Polyp A9369BR3,Polyp,polyp,A9369,A9369,patient_grouped,GPL96,GSM1012515_A9369BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012516,Polyp C0020BR1,Polyp,polyp,C0020,C0020,patient_grouped,GPL96,GSM1012516_C0020BR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012517,Polyp C0035BR1,Polyp,polyp,C0035,C0035,patient_grouped,GPL96,GSM1012517_C0035BR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012518,Liver Metastasis C0045UR3,Liver Metastasis,liver_metastasis,C0045,C0045,patient_grouped,GPL96,GSM1012518_C0045UR3.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012519,Polyp C0047BR1,Polyp,polyp,C0047,C0047,patient_grouped,GPL96,GSM1012519_C0047BR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012520,Liver Metastasis C0056UR3,Liver Metastasis,liver_metastasis,C0056,C0056,patient_grouped,GPL96,GSM1012520_C0056UR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012521,Liver Metastasis C0059UR3,Liver Metastasis,liver_metastasis,C0059,C0059,patient_grouped,GPL96,GSM1012521_C0059UR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012522,Liver Metastasis C0068UR3,Liver Metastasis,liver_metastasis,C0068,C0068,patient_grouped,GPL96,GSM1012522_C0068UR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012523,Liver Metastasis C0072UR3,Liver Metastasis,liver_metastasis,C0072,C0072,patient_grouped,GPL96,GSM1012523_C0072UR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012524,Liver Metastasis C0075UR3,Liver Metastasis,liver_metastasis,C0075,C0075,patient_grouped,GPL96,GSM1012524_C0075UR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012525,Primary Tumor C0081AR3,Primary Tumor,primary_tumor,C0081,C0081,patient_grouped,GPL96,GSM1012525_C0081AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012526,Primary Tumor C0101AR3,Primary Tumor,primary_tumor,C0101,C0101,patient_grouped,GPL96,GSM1012526_C0101AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012527,Primary Tumor C0104AR3,Primary Tumor,primary_tumor,C0104,C0104,patient_grouped,GPL96,GSM1012527_C0104AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012528,Primary Tumor C0105A,Primary Tumor,primary_tumor,C0105,C0105,patient_grouped,GPL96,GSM1012528_C0105A.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012529,Primary Tumor C0111AR1,Primary Tumor,primary_tumor,C0111,C0111,patient_grouped,GPL96,GSM1012529_C0111AR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012530,Normal Colon C0111HR1,Normal Colon,normal_colon,C0111,C0111,patient_grouped,GPL96,GSM1012530_C0111HR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012531,Primary Tumor C0112AR1,Primary Tumor,primary_tumor,C0112,C0112,patient_grouped,GPL96,GSM1012531_C0112AR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
