"accession","archive","member","gsm","extracted_path","compressed_cel_readable","metadata_match"
"GSE41258","GSE41258_RAW.tar","GSM1012347_04176HR3.CEL.gz","GSM1012347","data/interim/cel/GSE41258/GSM1012347_04176HR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012348_04222MR1.CEL.gz","GSM1012348","data/interim/cel/GSE41258/GSM1012348_04222MR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012349_04222VR1.CEL.gz","GSM1012349","data/interim/cel/GSE41258/GSM1012349_04222VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012350_04276AR2.CEL.gz","GSM1012350","data/interim/cel/GSE41258/GSM1012350_04276AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012351_04276HR2.CEL.gz","GSM1012351","data/interim/cel/GSE41258/GSM1012351_04276HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012352_04388AR2.CEL.gz","GSM1012352","data/interim/cel/GSE41258/GSM1012352_04388AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012353_04449BR4.CEL.gz","GSM1012353","data/interim/cel/GSE41258/GSM1012353_04449BR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012354_04494AR4.CEL.gz","GSM1012354","data/interim/cel/GSE41258/GSM1012354_04494AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012355_04494HR4.CEL.gz","GSM1012355","data/interim/cel/GSE41258/GSM1012355_04494HR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012356_04549AR4.CEL.gz","GSM1012356","data/interim/cel/GSE41258/GSM1012356_04549AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012357_04549HR4.CEL.gz","GSM1012357","data/interim/cel/GSE41258/GSM1012357_04549HR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012358_04800AR4.CEL.gz","GSM1012358","data/interim/cel/GSE41258/GSM1012358_04800AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012359_04800hr4.CEL.gz","GSM1012359","data/interim/cel/GSE41258/GSM1012359_04800hr4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012360_04809BR1.CEL.gz","GSM1012360","data/interim/cel/GSE41258/GSM1012360_04809BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012361_05025AR4.CEL.gz","GSM1012361","data/interim/cel/GSE41258/GSM1012361_05025AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012362_05192BR1.CEL.gz","GSM1012362","data/interim/cel/GSE41258/GSM1012362_05192BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012363_05334AR4.CEL.gz","GSM1012363","data/interim/cel/GSE41258/GSM1012363_05334AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012364_05424AR4.CEL.gz","GSM1012364","data/interim/cel/GSE41258/GSM1012364_05424AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012365_05479BR1.CEL.gz","GSM1012365","data/interim/cel/GSE41258/GSM1012365_05479BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012366_05629AR4.CEL.gz","GSM1012366","data/interim/cel/GSE41258/GSM1012366_05629AR4.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012367_05708AR2.CEL.gz","GSM1012367","data/interim/cel/GSE41258/GSM1012367_05708AR2.CEL.gz",TRUE,TRUE
