"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"11715282_s_at","CGB1","114335",6,6,"ambiguous"
"11715282_s_at","CGB2","114336",6,6,"ambiguous"
"11715282_s_at","CGB3","1082",6,6,"ambiguous"
"11715282_s_at","CGB5","93659",6,6,"ambiguous"
"11715282_s_at","CGB7","94027",6,6,"ambiguous"
"11715282_s_at","CGB8","94115",6,6,"ambiguous"
"11715283_at","CCKAR","886",1,1,"mapped_unique"
"11715284_x_at","C15orf40","123207",1,1,"mapped_unique"
"11715285_at","C15orf40","123207",1,1,"mapped_unique"
"11715286_x_at","C15orf40","123207",1,1,"mapped_unique"
"11715287_at","C15orf40","123207",1,1,"mapped_unique"
"11715288_s_at","CASP14","23581",1,1,"mapped_unique"
"11715289_s_at","AGRP","181",1,1,"mapped_unique"
"11715290_s_at","CLDN3","1365",1,1,"mapped_unique"
"11715291_s_at","TBX5","6910",1,1,"mapped_unique"
"11715292_at","ST8SIA1","6489",1,1,"mapped_unique"
"11715293_s_at","TRPT1","83707",1,1,"mapped_unique"
"11715294_s_at","HECTD2","143279",1,1,"mapped_unique"
"11715295_s_at","CCL27","10850",1,1,"mapped_unique"
"11715296_s_at","KRT33A","3883",1,1,"mapped_unique"
"11715297_at","FXN","2395",1,1,"mapped_unique"
"11715298_x_at","SH2D2A","9047",1,1,"mapped_unique"
"11715299_s_at","PRAMEF8","391002",1,1,"mapped_unique"
"11715300_s_at","SSX3","10214",1,1,"mapped_unique"
"11715301_s_at","NOP16","51491",1,1,"mapped_unique"
"11715302_s_at","NT5C1A","84618",1,1,"mapped_unique"
"11715303_s_at","CEMP1","752014",1,1,"mapped_unique"
"11715304_s_at","PLCB3","5331",1,1,"mapped_unique"
"11715305_s_at","HOXA10","3206",1,1,"mapped_unique"
"11715306_s_at","AREG","374",1,1,"mapped_unique"
"11715307_s_at","MLXIPL","51085",1,1,"mapped_unique"
"11715308_s_at","MLXIPL","51085",1,1,"mapped_unique"
"11715309_s_at","MLXIPL","51085",1,1,"mapped_unique"
"11715310_s_at","MLXIPL","51085",1,1,"mapped_unique"
"11715311_s_at","DEFB103A","414325",2,2,"ambiguous"
"11715311_s_at","DEFB103B","55894",2,2,"ambiguous"
"11715312_at","FOXC2","2303",1,1,"mapped_unique"
"11715313_s_at","LHB","3972",1,1,"mapped_unique"
"11715314_at","RABGEF1","27342",1,1,"mapped_unique"
"11715315_s_at","RABGEF1","27342",1,1,"mapped_unique"
"11715316_x_at","HLA-C","3107",1,1,"mapped_unique"
"11715317_s_at","CGB1","114335",6,6,"ambiguous"
"11715317_s_at","CGB2","114336",6,6,"ambiguous"
"11715317_s_at","CGB3","1082",6,6,"ambiguous"
"11715317_s_at","CGB5","93659",6,6,"ambiguous"
"11715317_s_at","CGB7","94027",6,6,"ambiguous"
"11715317_s_at","CGB8","94115",6,6,"ambiguous"
"11715318_s_at","CYP2C19","1557",1,1,"mapped_unique"
"11715319_s_at","MAGEA1","4100",1,1,"mapped_unique"
"11715320_s_at","TTN","7273",1,1,"mapped_unique"
"11715321_x_at","KRTAP10-8","386681",1,1,"mapped_unique"
"11715322_s_at","FABP12","646486",1,1,"mapped_unique"
"11715323_s_at","NKX1-2","390010",1,1,"mapped_unique"
"11715324_s_at","PPIAL4A","653505",5,5,"ambiguous"
"11715324_s_at","PPIAL4C","653598",5,5,"ambiguous"
